  RIND  GIND  NSUB OSUB ILAT ILON   LAT    LON    LON(W) RPTS FLAG  REG 
   242  3840    0    0   11    2   25.00  237.50 -122.50    0    3 outrg
   243  3841    0    0   11    3   25.00  240.00 -120.00    0    3 outrg
   244  3842    0    0   11    4   25.00  242.50 -117.50    0    3 outrg
   245  3843    0    0   11    5   25.00  245.00 -115.00    0    3 outrg
   246  3844    0    0   11    6   25.00  247.50 -112.50    0    3 outrg
   247  3845    0    0   11    7   25.00  250.00 -110.00    0    3 outrg
   248  3846    0    0   11    8   25.00  252.50 -107.50    0    3 outrg
   249  3847    0    0   11    9   25.00  255.00 -105.00    0    3 outrg
   250  3848    0    0   11   10   25.00  257.50 -102.50    0    3 outrg
   251  3849    0    0   11   11   25.00  260.00 -100.00    2    3 outrg
   252  3850    0    0   11   12   25.00  262.50  -97.50   12    1 outrg
   253  3851    0    0   11   13   25.00  265.00  -95.00    0    3 outrg
   254  3852    0    0   11   14   25.00  267.50  -92.50    0    3 outrg
   255  3853    0    0   11   15   25.00  270.00  -90.00    0    3 outrg
   256  3854    0    0   11   16   25.00  272.50  -87.50    0    3 outrg
   257  3855    0    0   11   17   25.00  275.00  -85.00    0    3 outrg
   258  3856    0    0   11   18   25.00  277.50  -82.50    8    2 outrg
   259  3857    6   11   11   19   25.00  280.00  -80.00   41    0 serfc
   260  3858    0    0   11   20   25.00  282.50  -77.50    3    3 outrg
   261  3859    0    0   11   21   25.00  285.00  -75.00    2    3 outrg
   262  3860    0    0   11   22   25.00  287.50  -72.50    0    3 outrg
   263  3861    0    0   11   23   25.00  290.00  -70.00    0    3 outrg
   264  3862    0    0   11   24   25.00  292.50  -67.50    0    3 outrg
